time,playerPositionX,playerPositionZ,playerRotation,rewardAmount,painBodyPart,painBodySource
0.006118774,0,0,0,0,00,000
0.01223755,0,0.0002988621,0,0,00,000
0.03224182,0,0.0008965865,0,0,00,000
0.04006958,0,0.006052459,0,0,00,000
0.045578,0,0.008559003,0,0,00,000
0.05162048,0,0.01056592,0,0,00,000
0.05766296,0,0.0130575,0,0,00,000
0.06369019,0,0.01584221,0,0,00,000
0.06977844,0,0.01891301,0,0,00,000
0.07583618,0,0.02230703,0,0,00,000
0.08189392,0,0.02597946,0,0,00,000
0.08795166,0,0.02994163,0,0,00,000
0.09407043,0,0.03420672,0,0,00,000
0.1000977,0,0.038811,0,0,00,000
0.1061096,0,0.04363418,0,0,00,000
0.1122131,0,0.04873756,0,0,00,000
0.1182861,0,0.05421368,0,0,00,000
0.1243286,0,0.05996271,0,0,00,000
0.1304016,0,0.06597339,0,0,00,000
0.1364594,0,0.07230365,0,0,00,000
0.1425018,0,0.07891255,0,0,00,000
0.1485443,0,0.08579271,0,0,00,000
0.1546326,0,0.09297171,0,0,00,000
0.1609802,0,0.1004975,0,0,00,000
0.1669617,0,0.1086686,0,0,00,000
0.1729431,0,0.1166634,0,0,00,000
0.1789398,0,0.1249383,0,0,00,000
0.1849213,0,0.1335115,0,0,00,000
0.1911011,0,0.142351,0,0,00,000
0.1973114,0,0.151801,0,0,00,000
0.203186,0,0.1615909,0,0,00,000
0.2091675,0,0.171149,0,0,00,000
0.2153015,0,0.1811643,0,0,00,000
0.2212372,0,0.1917337,0,0,00,000
0.2273712,0,0.2022417,0,0,00,000
0.2336426,0,0.2133939,0,0,00,000
0.2395477,0,0.2251151,0,0,00,000
0.2456055,0,0.2364259,0,0,00,000
0.2516327,0,0.2483399,0,0,00,000
0.2576447,0,0.2604651,0,0,00,000
0.2637482,0,0.2728517,0,0,00,000
0.2698364,0,0.2857316,0,0,00,000
0.2758331,0,0.298868,0,0,00,000
0.2818604,0,0.3120894,0,0,00,000
0.2880402,0,0.3256831,0,0,00,000
0.2940063,0,0.3399348,0,0,00,000
0.3002777,0,0.3539729,0,0,00,000
0.306076,0,0.3690524,0,0,00,000
0.3121796,0,0.3832485,0,0,00,000
0.3181915,0,0.3984868,0,0,00,000
0.3242798,0,0.413773,0,0,00,000
0.3303986,0,0.4295648,0,0,00,000
0.3363953,0,0.4457455,0,0,00,000
0.342514,0,0.4618827,0,0,00,000
0.348587,0,0.4786386,0,0,00,000
0.3545837,0,0.4955943,0,0,00,000
0.361145,0,0.512583,0,0,00,000
0.3668213,0,0.5315462,0,0,00,000
0.372879,0,0.5482247,0,0,00,000
0.3790436,0,0.5662712,0,0,00,000
0.3851624,0,0.5849467,0,0,00,000
0.391037,0,0.6038067,0,0,00,000
0.3970947,0,0.6221827,0,0,00,000
0.4030609,0,0.6414276,0,0,00,000
0.4091492,0,0.6606833,0,0,00,000
0.4152527,0,0.6806222,0,0,00,000
0.421524,0,0.7040865,0,0,00,000
0.4276428,-7.896266E-09,0.7317161,0,0,00,000
0.4333954,-1.522791E-08,0.7618699,0,0,00,000
0.4395294,-2.179655E-08,0.7928543,0,0,00,000
0.4455872,-2.845256E-08,0.8287569,0,0,00,000
0.4517212,-3.47063E-08,0.8668823,0,0,00,000
0.4578705,-4.073114E-08,0.9081206,0,0,00,000
0.4639893,-4.647598E-08,0.9519764,0,0,00,000
0.4703369,-5.191075E-08,0.997951,0,0,00,000
0.4758759,-5.726664E-08,1.048093,0,0,00,000
0.4821167,-6.173877E-08,1.093654,0,0,00,000
0.4879761,-6.652213E-08,1.147063,0,0,00,000
0.493988,-7.08003E-08,1.198952,0,0,00,000
0.500061,-7.497891E-08,1.253971,0,0,00,000
